country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Maharashtra,Akola,"Ramdaspeth, Akola - MPCB",12-02-2026 01:00:00,20.719516,77.000253,OZONE,7,75,24
India,Maharashtra,Amravati,"Shivneri Colony, Amravati - MPCB",12-02-2026 01:00:00,20.9402359,77.7895248,SO2,NA,NA,NA
India,Madhya Pradesh,Jabalpur,"Suhagi, Jabalpur - JMC",12-02-2026 01:00:00,23.218135,79.957770,CO,52,110,100
India,Madhya Pradesh,Katni,"Gole Bazar, Katni - MPPCB",12-02-2026 01:00:00,23.50016,80.23284,OZONE,7,122,53
India,Madhya Pradesh,Maihar,"Sahilara, Maihar - KJS Cements",12-02-2026 01:00:00,24.2613009,80.7231783,SO2,NA,NA,NA
India,Madhya Pradesh,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",12-02-2026 01:00:00,23.108440,77.511428,NO2,66,164,113
India,Madhya Pradesh,Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB",12-02-2026 01:00:00,22.624758,75.675238,PM2.5,132,322,229
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB",12-02-2026 01:00:00,20.918946,74.776388,CO,17,63,47
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB",12-02-2026 01:00:00,20.918946,74.776388,OZONE,21,66,55
India,Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB",12-02-2026 01:00:00,21.001264,75.565602,PM2.5,83,168,109
India,Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB",12-02-2026 01:00:00,21.001264,75.565602,OZONE,8,96,40
India,Maharashtra,Kalyan,"Pimpleshwar Mandir, Kalyan - MPCB",12-02-2026 01:00:00,19.192056,72.9585188,OZONE,NA,NA,NA
India,Maharashtra,Kolhapur,"Sinchan Bhavan, Kolhapur - MPCB",12-02-2026 01:00:00,16.7143745,74.2426398,SO2,2,17,6
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB",12-02-2026 01:00:00,19.875620,75.387310,OZONE,12,70,28
India,Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB",12-02-2026 01:00:00,19.863756,75.321188,PM10,68,172,111
India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB",12-02-2026 01:00:00,19.16485,73.23409,PM10,77,187,126
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB",12-02-2026 01:00:00,19.0243902,73.0406721,CO,10,39,32
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB",12-02-2026 01:00:00,19.309073,73.057223,NO2,19,43,32
India,Madhya Pradesh,Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC",12-02-2026 01:00:00,23.163174,79.973061,OZONE,6,24,11
India,Madhya Pradesh,Jabalpur,"Gupteshwar, Jabalpur - JMC",12-02-2026 01:00:00,23.142888,79.916147,PM10,37,80,54
India,Madhya Pradesh,Jabalpur,"Gupteshwar, Jabalpur - JMC",12-02-2026 01:00:00,23.142888,79.916147,NH3,2,2,2
India,Madhya Pradesh,Jabalpur,"Gupteshwar, Jabalpur - JMC",12-02-2026 01:00:00,23.142888,79.916147,OZONE,28,39,29
India,Madhya Pradesh,Jabalpur,"Marhatal, Jabalpur - MPPCB",12-02-2026 01:00:00,23.168606,79.932247,PM10,62,161,101
India,Madhya Pradesh,Jabalpur,"Suhagi, Jabalpur - JMC",12-02-2026 01:00:00,23.218135,79.957770,NO2,24,110,56
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB",12-02-2026 01:00:00,19.309073,73.057223,SO2,4,17,10
India,Maharashtra,Boisar,"Khaira, Boisar - MPCB",12-02-2026 01:00:00,19.786089,72.757971,SO2,1,9,3
India,Maharashtra,Boisar,"Khaira, Boisar - MPCB",12-02-2026 01:00:00,19.786089,72.757971,OZONE,15,98,41
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB",12-02-2026 01:00:00,20.918946,74.776388,NH3,2,2,2
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB",12-02-2026 01:00:00,20.918946,74.776388,SO2,1,13,6
India,Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB",12-02-2026 01:00:00,20.555712,74.529236,PM2.5,NA,NA,NA
India,Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB",12-02-2026 01:00:00,20.555712,74.529236,PM10,NA,NA,NA
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",12-02-2026 01:00:00,19.296481,72.840923,PM2.5,56,126,82
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",12-02-2026 01:00:00,19.296481,72.840923,SO2,14,19,16
India,Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB",12-02-2026 01:00:00,19.0632143,72.8456324,PM10,66,167,109
India,Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM",12-02-2026 01:00:00,19.1653323,72.922099,NH3,5,7,6
India,Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM",12-02-2026 01:00:00,19.1653323,72.922099,SO2,7,27,13
India,Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM",12-02-2026 01:00:00,19.1653323,72.922099,CO,14,32,25
India,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB",12-02-2026 01:00:00,19.0863,72.8888,NO2,6,9,7
India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM",12-02-2026 01:00:00,19.19709,72.82204,PM2.5,35,97,67
India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM",12-02-2026 01:00:00,19.19709,72.82204,NO2,39,114,65
India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM",12-02-2026 01:00:00,19.19709,72.82204,NH3,6,14,8
India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM",12-02-2026 01:00:00,19.19709,72.82204,SO2,1,23,10
India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM",12-02-2026 01:00:00,19.19709,72.82204,OZONE,2,75,59
India,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM",12-02-2026 01:00:00,18.96702,72.84214,PM2.5,63,199,112
